year_ticket_id,ticket_priority,ticket_category,issue_type,device_type,specialization,resolution_time_minutes,first_response_time_minutes,sla_breach_flag,service_tier
2023_T0004112,P3,Hardware,Crash,Router,Network,1347.97,42.0,0.0,Silver
2023_T0006041,P2,Hardware,Failure,Switch,Network,531.98,29.0,1.0,Gold
2023_T0006485,P2,Hardware,Slow,Router,Network,1456.67,52.0,1.0,Bronze
2023_T0002055,P2,Hardware,Crash,Server,Network,1097.9,24.0,0.0,Bronze
2023_T0002322,P2,Network,Crash,Server,Network,660.22,5.0,0.0,Silver
2023_T0006676,P4,Hardware,Failure,Firewall,Network,3187.13,8.0,0.0,Bronze
2023_T0002820,P4,Hardware,Access,Switch,Server,3251.1,58.0,1.0,Gold
2023_T0003469,P1,Network,Crash,Switch,Network,521.57,52.0,0.0,Bronze
2023_T0002040,P4,Network,Failure,Server,Network,2920.7,14.0,1.0,Gold
2023_T0005634,P3,Network,Crash,Firewall,Server,1406.02,47.0,0.0,Gold
2023_T0003955,P3,Hardware,Slow,Router,Network,1256.17,26.0,0.0,Gold
2023_T0002163,P3,Network,Crash,Server,Server,1632.47,38.0,1.0,Silver
2023_T0001589,P2,Hardware,Access,Server,Server,436.28,35.0,0.0,Gold
2023_T0005719,P2,Hardware,Slow,Firewall,Server,824.92,57.0,1.0,Silver
2023_T0000574,P3,Network,Access,Firewall,Network,1379.87,9.0,0.0,Gold
2023_T0004120,P1,Network,Access,Firewall,Server,662.08,41.0,0.0,Bronze
2023_T0002868,P2,Network,Failure,Firewall,Server,432.63,32.0,0.0,Gold
2023_T0005985,P2,Network,Crash,Router,Server,1033.4,59.0,0.0,Bronze
2023_T0005063,P2,Network,Crash,Router,Network,845.92,58.0,1.0,Silver
2023_T0006327,P3,Network,Access,Firewall,Network,1434.38,36.0,0.0,Silver
2023_T0004858,P4,Hardware,Failure,Router,Network,2195.15,28.0,0.0,Gold
2023_T0002802,P2,Hardware,Crash,Router,Network,1664.22,7.0,1.0,Bronze
2023_T0005523,P2,Hardware,Slow,Firewall,Server,1374.87,52.0,0.0,Bronze
2023_T0001246,P4,Network,Access,Router,Network,2625.1,10.0,0.0,Gold
2023_T0004786,P4,Network,Crash,Router,Network,2160.67,29.0,0.0,Gold
2023_T0002293,P2,Network,Failure,Firewall,Network,407.23,26.0,0.0,Gold
2023_T0006911,P1,Hardware,Crash,Firewall,Network,230.07,58.0,0.0,Gold
2023_T0002736,P1,Network,Access,Server,Network,257.48,40.0,1.0,Gold
2023_T0005455,P2,Hardware,Slow,Switch,Network,537.32,20.0,1.0,Gold
2023_T0006512,P3,Hardware,Failure,Server,Server,1274.75,29.0,0.0,Gold
2023_T0001633,P1,Hardware,Crash,Router,Network,344.78,20.0,0.0,Silver
2023_T0006228,P4,Hardware,Slow,Server,Server,2789.9,25.0,0.0,Gold
2023_T0004368,P2,Hardware,Failure,Server,Server,703.88,60.0,0.0,Silver
2023_T0001280,P3,Hardware,Crash,Firewall,Network,2968.67,32.0,1.0,Bronze
2023_T0001507,P3,Hardware,Crash,Router,Network,1484.33,32.0,1.0,Gold
2023_T0002669,P2,Hardware,Slow,Firewall,Network,758.37,11.0,1.0,Silver
2023_T0005950,P1,Network,Access,Firewall,Network,239.15,47.0,0.0,Gold
2023_T0006061,P3,Network,Access,Firewall,Network,1295.35,26.0,0.0,Silver
2023_T0002590,P2,Hardware,Failure,Router,Network,417.57,41.0,0.0,Gold
2023_T0000375,P3,Network,Crash,Router,Network,3192.83,17.0,1.0,Bronze
2023_T0002410,P4,Network,Failure,Server,Server,2020.22,11.0,0.0,Gold
2023_T0002968,P2,Hardware,Slow,Switch,Network,501.62,7.0,1.0,Gold
2023_T0001890,P2,Network,Failure,Firewall,Network,1706.27,7.0,1.0,Bronze
2023_T0006282,P1,Network,Access,Firewall,Server,453.85,5.0,0.0,Silver
2023_T0002657,P2,Hardware,Access,Server,Network,490.32,29.0,1.0,Gold
2023_T0004009,P1,Network,Crash,Switch,Server,517.65,33.0,1.0,Silver
2023_T0003967,P4,Network,Slow,Firewall,Server,3131.85,23.0,1.0,Gold
2023_T0005581,P1,Hardware,Access,Firewall,Network,671.93,14.0,0.0,Bronze
2023_T0002372,P3,Network,Crash,Server,Network,1488.93,13.0,1.0,Gold
2023_T0006396,P3,Hardware,Slow,Firewall,Network,1351.05,46.0,0.0,Silver
2023_T0000819,P1,Network,Slow,Server,Network,543.6,45.0,0.0,Bronze
2023_T0002082,P4,Network,Crash,Server,Network,3400.1,41.0,1.0,Gold
2023_T0005303,P1,Hardware,Access,Firewall,Network,168.6,36.0,0.0,Gold
2023_T0003981,P4,Hardware,Failure,Firewall,Network,2535.65,12.0,0.0,Gold
2023_T0004037,P4,Network,Access,Router,Server,3286.55,21.0,1.0,Gold
2023_T0005329,P1,Network,Slow,Firewall,Server,171.38,21.0,0.0,Gold
2023_T0004704,P1,Network,Access,Server,Server,388.7,16.0,0.0,Silver
2023_T0004405,P4,Hardware,Failure,Server,Network,2421.12,45.0,0.0,Gold
2023_T0000138,P3,Network,Crash,Firewall,Server,1226.28,20.0,0.0,Silver
2023_T0000365,P3,Network,Crash,Firewall,Server,1226.28,20.0,0.0,Gold
2023_T0006215,P3,Network,Crash,Router,Server,2069.97,31.0,0.0,Bronze
2023_T0004501,P2,Hardware,Access,Router,Network,373.65,54.0,0.0,Gold
2023_T0005473,P3,Network,Crash,Firewall,Network,1582.88,14.0,1.0,Gold
2023_T0004924,P3,Network,Slow,Firewall,Network,1390.02,9.0,0.0,Silver
2023_T0001392,P1,Network,Crash,Router,Network,267.58,60.0,1.0,Gold
2023_T0001619,P1,Network,Crash,Router,Network,535.18,60.0,1.0,Silver
2023_T0003828,P2,Hardware,Failure,Firewall,Server,337.98,22.0,0.0,Gold
2023_T0000007,P2,Network,Failure,Router,Network,410.57,36.0,0.0,Gold
2023_T0003722,P3,Hardware,Failure,Switch,Network,2881.67,44.0,1.0,Bronze
2023_T0000145,P4,Hardware,Failure,Switch,Network,2965.37,6.0,1.0,Gold
2023_T0000491,P4,Hardware,,Server,Server,5111.8,56.0,1.0,Bronze
2023_T0004590,P4,Network,Access,Router,Server,4412.72,46.0,1.0,Bronze
2023_T0001994,P2,Network,Slow,Router,Network,1014.7,6.0,0.0,Bronze
2023_T0000033,P2,Network,Crash,Switch,Network,477.32,35.0,0.0,Gold
2023_T0001559,P4,Network,Crash,Router,Server,2302.12,30.0,0.0,Gold
2023_T0005715,P1,Network,Access,Server,Server,200.67,28.0,0.0,Gold
2023_T0006876,P1,Network,Access,Server,Server,169.07,11.0,0.0,Gold
2023_T0004284,P1,Network,Slow,Server,Network,221.72,60.0,0.0,Gold
2023_T0004373,P3,Hardware,Slow,Firewall,Server,1197.25,17.0,0.0,Silver
2023_T0002377,P3,Hardware,Slow,Firewall,Network,1447.57,41.0,1.0,Gold
2023_T0006614,P3,Hardware,Access,Firewall,Network,1720.02,60.0,1.0,Gold
2023_T0003753,P4,Network,Failure,Firewall,Network,3461.08,14.0,0.0,Bronze
2023_T0006476,P1,Hardware,Crash,Firewall,Server,258.0,32.0,1.0,Gold
2023_T0006857,P2,Hardware,Slow,Server,Server,572.72,42.0,1.0,Gold
2023_T0006872,P2,Network,Failure,Server,Server,360.52,51.0,0.0,Gold
2023_T0001677,P2,Network,Slow,Router,Network,1315.08,43.0,0.0,Bronze
2023_T0004536,P1,Network,Failure,Firewall,Network,594.73,58.0,0.0,Bronze
2023_T0003845,P2,Hardware,Failure,Firewall,Network,1651.68,41.0,1.0,Bronze
2023_T0002846,P4,Hardware,Crash,Firewall,Network,2476.13,57.0,0.0,Gold
2023_T0004212,P2,Hardware,Failure,Router,Server,1542.5,35.0,1.0,Bronze
2023_T0005223,P1,Network,Access,Switch,Network,841.38,41.0,1.0,Bronze
2023_T0003846,P3,Hardware,Access,Firewall,Network,1269.25,47.0,0.0,Gold
2023_T0004666,P1,Network,Failure,Firewall,Server,358.65,54.0,0.0,Silver
2023_T0000655,P2,Network,Slow,Firewall,Server,1665.88,41.0,1.0,Bronze
2023_T0000882,P2,Network,Slow,Firewall,Server,1665.88,41.0,1.0,Bronze
2023_T0002157,P3,Network,Failure,Router,Network,3263.28,57.0,1.0,Bronze
2023_T0000623,P2,Hardware,Slow,Server,Network,469.63,26.0,0.0,Gold
2023_T0005751,P2,Network,Slow,Firewall,Network,574.97,23.0,1.0,Gold
2023_T0006156,P4,Hardware,Slow,Router,Network,2490.48,54.0,0.0,Gold
2023_T0005083,P4,Network,Crash,Server,Server,3179.55,9.0,1.0,Gold
2023_T0003019,P4,Hardware,Crash,Server,Network,3194.6,16.0,1.0,Gold
2023_T0006530,P4,Hardware,Failure,Server,Network,3675.58,6.0,0.0,Bronze
2023_T0002128,P2,Hardware,Slow,Switch,Network,1009.42,20.0,0.0,Bronze
2023_T0004265,P4,Network,Slow,Firewall,Network,3830.27,58.0,0.0,Bronze
2023_T0004805,P4,Hardware,Crash,Server,Server,3444.2,33.0,1.0,Gold
2023_T0004438,P3,Network,Crash,Switch,Network,1331.88,54.0,0.0,Gold
2023_T0005299,P2,Network,Slow,Router,Network,547.6,30.0,0.0,Silver
2023_T0005703,P4,Hardware,Access,Server,Server,3294.72,10.0,0.0,Bronze
2023_T0005284,P2,Hardware,Failure,Server,Network,501.43,6.0,1.0,Gold
2023_T0004085,P4,Network,Access,Router,Server,2980.63,18.0,1.0,Gold
2023_T0001553,P3,Network,Crash,Firewall,Network,1377.53,35.0,0.0,Gold
2023_T0005586,P3,Hardware,Access,Router,Server,1230.12,52.0,0.0,Gold
2023_T0006556,P1,Hardware,Slow,Firewall,Network,179.22,25.0,0.0,Gold
2023_T0001755,P4,Hardware,Crash,Firewall,Network,2433.37,33.0,0.0,Silver
2023_T0001164,P1,Hardware,Crash,Switch,Server,610.83,16.0,0.0,Bronze
2023_T0001391,P1,Hardware,Crash,Firewall,Server,407.22,16.0,0.0,Silver
2023_T0002767,P2,Hardware,Access,Router,Server,469.68,15.0,0.0,Gold
2023_T0003363,P4,Network,Crash,Server,Network,4131.07,59.0,0.0,Bronze
2023_T0006551,P3,Hardware,Crash,Server,Network,2352.0,34.0,0.0,Bronze
2023_T0004701,P1,Hardware,Slow,Router,Server,742.73,46.0,1.0,Bronze
2023_T0002208,P4,Network,Failure,Switch,Server,3234.93,15.0,1.0,Silver
2023_T0001062,P3,Network,Crash,Firewall,Server,1312.22,24.0,0.0,Silver
2023_T0001289,P3,Network,Crash,Firewall,Server,2624.43,24.0,0.0,Bronze
2023_T0003471,P1,Network,Access,Firewall,Network,369.52,43.0,0.0,Silver
2023_T0001070,P4,Hardware,Slow,Switch,Server,3921.23,43.0,0.0,Bronze
2023_T0001297,P4,Hardware,Slow,Switch,Server,2614.15,43.0,0.0,Gold
2023_T0003071,P4,Hardware,Failure,Server,Network,5017.2,26.0,1.0,Bronze
2023_T0003454,P2,Network,Failure,Firewall,Network,606.1,37.0,0.0,Silver
2023_T0000650,P1,Hardware,Failure,Switch,Network,226.97,21.0,0.0,Gold
2023_T0004467,P3,Hardware,Access,Server,Server,1013.1,31.0,0.0,Gold
2023_T0005192,P4,Hardware,Access,Server,Server,2239.52,14.0,0.0,Gold
2023_T0001344,P2,Hardware,Access,Firewall,Network,390.28,42.0,0.0,Gold
2023_T0001571,P2,Hardware,Access,Firewall,Network,1170.85,42.0,0.0,Bronze
2023_T0002705,P3,Hardware,Failure,Switch,Network,1635.92,17.0,1.0,Gold
2023_T0004756,P1,Hardware,Access,Router,Server,233.05,8.0,0.0,Gold
2023_T0001711,P4,Hardware,Crash,Server,Server,3398.05,49.0,1.0,Silver
2023_T0002164,P2,Hardware,Failure,Switch,Network,758.22,43.0,1.0,Silver
2023_T0006586,P4,Network,Access,Router,Network,5029.75,49.0,1.0,Bronze
2023_T0001860,P4,Network,Failure,Firewall,Network,3307.37,49.0,1.0,Gold
2023_T0000622,P2,Network,Failure,Firewall,Network,541.37,14.0,1.0,Gold
2023_T0005401,P4,Network,Failure,Server,Server,3313.82,31.0,1.0,Gold
2023_T0002080,P1,Network,Failure,Switch,Network,274.5,28.0,1.0,Gold
2023_T0005613,P3,Network,Access,Firewall,Network,1138.77,44.0,0.0,Silver
2023_T0004899,P4,Hardware,Crash,Router,Server,3818.63,60.0,0.0,Bronze
2023_T0005585,P2,Network,Crash,Switch,Network,1161.07,34.0,0.0,Bronze
2023_T0001234,P4,Hardware,Slow,Switch,Server,3930.32,32.0,0.0,Bronze
2023_T0004728,P2,Hardware,Failure,Router,Network,523.7,41.0,1.0,Gold
2023_T0001002,P2,Network,Failure,Firewall,Network,605.9,46.0,0.0,Silver
2023_T0006656,P1,Hardware,Crash,Server,Network,587.73,11.0,0.0,Bronze
2023_T0006554,P2,Network,Slow,Switch,Server,522.55,56.0,0.0,Silver
2023_T0003922,P4,Network,Failure,Switch,Server,3082.68,16.0,1.0,Gold
2023_T0000167,P2,Hardware,Failure,Router,Server,1256.37,24.0,0.0,Bronze
2023_T0000394,P2,Hardware,Failure,Server,Server,418.78,24.0,0.0,Gold
2023_T0003430,P1,Network,Slow,Server,Network,758.3,9.0,1.0,Bronze
2023_T0002812,P1,Hardware,Access,Router,Network,218.8,60.0,0.0,Gold
2023_T0004399,P2,Network,Access,Switch,Server,1391.48,6.0,0.0,Bronze
2023_T0005562,P3,Network,Access,Firewall,Server,1226.67,47.0,0.0,Gold
2023_T0006809,P4,Hardware,Crash,Switch,Network,3340.23,15.0,0.0,Bronze
2023_T0002259,P4,Hardware,Failure,Firewall,Network,3437.87,58.0,1.0,Gold
2023_T0006860,P2,Network,Crash,Server,Network,462.65,44.0,0.0,Gold
2023_T0001469,P3,Network,Access,Switch,Network,1600.95,59.0,1.0,Silver
2023_T0001696,P3,Network,Access,Firewall,Network,3201.92,59.0,1.0,Bronze
2023_T0004827,P3,Network,Access,Switch,Network,1540.13,40.0,1.0,Gold
2023_T0000229,P3,Network,Access,Server,Server,2885.33,35.0,1.0,Bronze
2023_T0003053,P2,Hardware,Access,Switch,Network,1379.47,32.0,0.0,Bronze
2023_T0006233,P3,Network,Slow,Router,Server,1052.43,50.0,0.0,Gold
2023_T0001740,P4,Network,Failure,Firewall,Network,5152.43,28.0,1.0,Bronze
2023_T0005551,P4,Network,Access,Switch,Network,2754.82,27.0,0.0,Gold
2023_T0003267,P3,Hardware,Access,Router,Server,2495.17,38.0,0.0,Bronze
2023_T0003083,P3,Network,Crash,Router,Network,1710.9,12.0,1.0,Gold
2023_T0002626,P4,Hardware,Crash,Server,Network,2180.02,27.0,0.0,Gold
2023_T0000986,P4,Hardware,Crash,Router,Network,3214.8,23.0,1.0,Gold
2023_T0001213,P4,Hardware,Crash,Server,Network,3214.8,23.0,1.0,Silver
2023_T0001451,P1,Hardware,Failure,Router,Server,798.53,16.0,1.0,Bronze
2023_T0001678,P1,Hardware,Failure,Firewall,Server,,16.0,1.0,Bronze
2023_T0003256,P2,Hardware,Crash,Firewall,Server,463.27,16.0,0.0,Gold
2023_T0006562,P3,Network,Failure,Router,Server,1661.95,8.0,1.0,Gold
2023_T0001138,P3,Network,Crash,Server,Server,2630.17,13.0,0.0,Bronze
2023_T0001365,P3,Network,Crash,Switch,Server,1315.08,13.0,0.0,Silver
2023_T0005410,P2,Network,Crash,Firewall,Network,802.67,49.0,1.0,Silver
2023_T0005121,P4,Hardware,Slow,Firewall,Network,4803.77,49.0,1.0,Bronze
2023_T0003459,P1,Hardware,Failure,Router,Network,181.62,52.0,0.0,Gold
2023_T0002017,P3,Hardware,Failure,Server,Network,1456.92,19.0,1.0,Gold
2023_T0006753,P2,Network,Slow,Firewall,Server,613.68,33.0,0.0,Silver
2023_T0002436,P4,Network,Failure,Switch,Server,3326.05,39.0,0.0,Bronze
2023_T0006222,P3,Network,Slow,Firewall,Network,2276.6,60.0,0.0,Bronze
2023_T0003061,P3,Network,Access,Firewall,Network,1065.52,47.0,0.0,Gold
2023_T0002704,P4,Hardware,Crash,Server,Server,4724.37,6.0,1.0,Bronze
2023_T0003775,P1,Network,Slow,Router,Network,624.43,11.0,0.0,Bronze
2023_T0004515,P1,Network,Slow,Router,Server,734.47,25.0,1.0,Bronze
2023_T0003638,P2,Hardware,Crash,Server,Network,1434.98,33.0,0.0,Bronze
2023_T0002547,P1,Hardware,Slow,Server,Network,762.98,42.0,1.0,Bronze
2023_T0000573,P4,Network,Crash,Router,Server,4960.48,31.0,1.0,Bronze
2023_T0003367,P4,Hardware,Access,Server,Server,2456.5,14.0,0.0,Silver
2023_T0002877,P2,Hardware,Access,Firewall,Server,1243.18,56.0,0.0,Bronze
2023_T0002614,P2,Network,Crash,Switch,Server,1550.33,42.0,1.0,Bronze
2023_T0005704,P3,Hardware,Slow,Switch,Network,1053.62,27.0,0.0,Silver
2023_T0004297,P1,Hardware,Slow,Firewall,Server,756.92,7.0,1.0,Bronze
2023_T0006314,P4,Hardware,Failure,Server,Server,4716.35,53.0,1.0,Bronze
2023_T0006313,P1,Network,Slow,Firewall,Server,277.23,33.0,1.0,Gold
2023_T0003511,P4,Network,Crash,Router,Network,4787.35,22.0,1.0,Bronze
2023_T0006664,P1,Network,Crash,Server,Server,827.02,9.0,1.0,Bronze
2023_T0004668,P3,Hardware,Crash,Firewall,Network,1531.72,56.0,1.0,Gold
2023_T0004352,P4,Hardware,Crash,Switch,Network,2733.53,22.0,0.0,Gold
2023_T0006199,P3,Network,Slow,Router,Network,1250.8,52.0,0.0,Gold
2023_T0006355,P4,Hardware,Slow,Router,Network,2645.47,40.0,0.0,Gold
2023_T0000684,P3,Network,Slow,Server,Network,2079.22,59.0,0.0,Bronze
2023_T0004000,P1,Hardware,Access,Router,Server,222.6,6.0,0.0,Gold
2023_T0003162,P2,Network,Crash,Switch,Network,440.42,44.0,0.0,Gold
2023_T0002475,P2,Hardware,Crash,Router,Network,571.47,18.0,1.0,Gold
2023_T0003290,P1,Network,Access,Router,Network,285.4,48.0,1.0,Gold
2023_T0006494,P4,Network,Slow,Router,Server,3506.73,39.0,0.0,Bronze
2023_T0000093,P4,Hardware,Access,Firewall,Network,2906.07,24.0,1.0,Gold
2023_T0001850,P4,Hardware,Crash,Firewall,Server,2181.03,57.0,0.0,Gold
2023_T0005723,P1,Network,Failure,Firewall,Network,179.98,58.0,0.0,Gold
2023_T0001670,P1,Hardware,Failure,Firewall,Server,863.0,20.0,1.0,Bronze
2023_T0001461,P4,Network,Access,Firewall,Server,3416.17,25.0,1.0,Gold
2023_T0001688,P4,Network,Access,Firewall,Server,5124.25,25.0,1.0,Bronze
2023_T0006452,P2,Hardware,Failure,Router,Network,688.02,40.0,0.0,Silver
2023_T0001782,P1,Network,Crash,Server,Network,185.77,31.0,0.0,Gold
2023_T0006953,P2,Hardware,Failure,Router,Network,371.3,36.0,0.0,Gold
2023_T0005827,P3,Network,Access,Firewall,Server,1270.53,38.0,0.0,Silver
2023_T0005897,P3,Network,Access,Firewall,Network,2201.88,12.0,0.0,Bronze
2023_T0003962,P2,Network,Slow,Firewall,Server,778.77,43.0,1.0,Silver
2023_T0003112,P2,Hardware,Access,Firewall,Network,463.65,31.0,0.0,Gold
2023_T0004109,P1,Network,Access,Server,Server,287.27,41.0,1.0,Gold
2023_T0003351,P3,Network,Slow,Router,Network,2799.88,51.0,0.0,Bronze
2023_T0005940,P3,Network,Access,Firewall,Network,3377.88,36.0,1.0,Bronze
2023_T0006214,P2,Hardware,Crash,Switch,Server,424.28,51.0,0.0,Gold
2023_T0001091,P2,Hardware,Failure,Firewall,Network,423.25,33.0,0.0,Gold
2023_T0001318,P2,Hardware,Failure,Firewall,Network,423.25,33.0,0.0,Gold
2023_T0000646,P2,Hardware,Crash,Server,Server,382.37,9.0,0.0,Gold
2023_T0001767,P1,Hardware,Crash,Firewall,Server,726.3,7.0,1.0,Bronze
2023_T0002967,P3,Hardware,Access,Router,Network,1645.2,16.0,1.0,Silver
2023_T0001899,P1,Hardware,Failure,Firewall,Network,529.1,45.0,0.0,Bronze
2023_T0003293,P1,Network,Access,Switch,Network,523.62,18.0,1.0,Silver
2023_T0002601,P1,Hardware,Crash,Firewall,Network,211.33,8.0,0.0,Gold
2023_T0004740,P1,Network,Slow,Firewall,Network,794.35,15.0,1.0,Bronze
2023_T0000431,P3,Hardware,Access,Server,Network,1034.43,31.0,0.0,Gold
2023_T0001295,P4,Network,Crash,Firewall,Server,3576.28,18.0,0.0,Bronze
2023_T0002912,P1,Hardware,Failure,Router,Network,832.82,47.0,1.0,Bronze
2023_T0006217,P2,Hardware,Failure,Switch,Server,1287.8,57.0,0.0,Bronze
2023_T0002890,P4,Hardware,Slow,Switch,Network,2269.57,33.0,0.0,Gold
2023_T0001893,P3,Network,Failure,Switch,Server,1287.3,9.0,0.0,Gold
2023_T0006486,P4,Hardware,Slow,Switch,Server,3293.02,9.0,0.0,Bronze
2023_T0004522,P3,Network,Failure,Firewall,Server,1464.43,29.0,1.0,Silver
