year_ticket_id,ticket_priority,ticket_category,issue_type,service_tier,client_id,engineer_id,sla_breach_prob,sla_risk_tier,sla_breach_flag,response_time_target_minutes,resolution_time_target_minutes
2023_T0002071,P2,Hardware,Crash,Gold,C007,E014,0.5088,Medium,1.0,60.0,480.0
2023_T0000146,P4,Network,Slow,Gold,C016,E007,0.5088,Medium,1.0,240.0,2880.0
2023_T0000992,P2,Network,Failure,Gold,C008,E017,0.5088,Medium,1.0,60.0,480.0
2023_T0006262,P4,Hardware,Slow,Silver,C015,E007,0.5088,Medium,1.0,480.0,2880.0
2023_T0005120,P3,Hardware,Crash,Gold,C007,E010,0.5088,Medium,1.0,120.0,1440.0
2023_T0004017,P4,Hardware,Failure,Gold,C008,E013,0.5088,Medium,1.0,240.0,2880.0
2023_T0003342,P2,Hardware,Crash,Gold,C008,E002,0.5088,Medium,1.0,60.0,480.0
2023_T0001213,P4,Hardware,Crash,Silver,C015,E017,0.5088,Medium,1.0,480.0,2880.0
2023_T0000256,P1,Hardware,Failure,Gold,C016,E012,0.5088,Medium,1.0,30.0,240.0
2023_T0000293,P2,Hardware,Access,Silver,C015,E018,0.5088,Medium,1.0,120.0,720.0
2023_T0003559,P3,Hardware,Slow,Gold,C016,E018,0.5088,Medium,0.0,120.0,1440.0
2023_T0000726,P4,Network,Crash,Gold,C016,E010,0.5088,Medium,1.0,240.0,2880.0
2024_T0002128,P1,Network,Crash,Bronze,C011,E010,0.508,Medium,0.0,120.0,720.0
2024_T0007808,P3,Hardware,Failure,Bronze,C022,E012,0.508,Medium,0.0,480.0,2880.0
2023_T0000261,P3,Network,Crash,Bronze,C022,E005,0.508,Medium,1.0,480.0,2880.0
2023_T0005665,P2,Network,Crash,Bronze,C014,E001,0.508,Medium,0.0,240.0,1440.0
2024_T0007368,P3,Hardware,Access,Bronze,C011,E015,0.508,Medium,0.0,480.0,2880.0
2023_T0001159,P4,Hardware,Access,Gold,C023,E001,0.508,Medium,0.0,240.0,2880.0
2023_T0002295,P1,Network,Failure,Gold,C023,E016,0.508,Medium,1.0,30.0,240.0
2024_T0002059,P4,Hardware,Access,Bronze,C022,E010,0.508,Medium,1.0,720.0,4320.0
2024_T0003565,P4,Hardware,Crash,Bronze,C011,E011,0.508,Medium,1.0,720.0,4320.0
2023_T0006748,P4,Network,Failure,Bronze,C014,E018,0.508,Medium,0.0,720.0,4320.0
2023_T0000805,P2,Network,Slow,Bronze,C022,E015,0.508,Medium,1.0,240.0,1440.0
2024_T0004992,P4,Network,Access,Gold,C001,E001,0.508,Medium,1.0,240.0,2880.0
2024_T0001831,P1,Network,Slow,Bronze,C022,E008,0.508,Medium,0.0,120.0,720.0
2024_T0004957,P2,Hardware,Failure,Bronze,C011,E003,0.508,Medium,1.0,240.0,1440.0
2023_T0003982,P4,Network,Access,Gold,C023,E019,0.508,Medium,1.0,240.0,2880.0
2023_T0001678,P1,Hardware,Failure,Bronze,C022,E011,0.508,Medium,1.0,120.0,720.0
2023_T0003361,P3,Network,Crash,Bronze,C014,E018,0.508,Medium,0.0,480.0,2880.0
2023_T0004439,P4,Network,Crash,Gold,C023,E017,0.508,Medium,1.0,240.0,2880.0
2023_T0000194,P1,Network,Slow,Gold,C023,E009,0.508,Medium,0.0,30.0,240.0
2023_T0006741,P1,Network,Crash,Gold,C023,E005,0.508,Medium,1.0,30.0,240.0
2023_T0002336,P4,Network,Crash,Bronze,C014,E011,0.508,Medium,0.0,720.0,4320.0
2023_T0006440,P4,Network,Failure,Bronze,C014,E007,0.508,Medium,1.0,720.0,4320.0
2024_T0008174,P3,Network,Failure,Bronze,C011,E003,0.508,Medium,1.0,480.0,2880.0
2023_T0000395,P3,Hardware,,Bronze,C022,E015,0.508,Medium,0.0,480.0,2880.0
2023_T0006849,P4,Network,Failure,Gold,C023,E012,0.508,Medium,1.0,240.0,2880.0
2024_T0002445,P4,Hardware,Crash,Bronze,C022,E012,0.508,Medium,1.0,720.0,4320.0
2024_T0007329,P4,Network,Access,Bronze,C022,E015,0.508,Medium,1.0,720.0,4320.0
2023_T0002017,P3,Hardware,Failure,Gold,C023,E007,0.508,Medium,1.0,120.0,1440.0
2024_T0004673,P4,Hardware,Crash,Bronze,C011,E012,0.508,Medium,0.0,720.0,4320.0
2023_T0005473,P3,Network,Crash,Gold,C023,E002,0.508,Medium,1.0,120.0,1440.0
2023_T0005149,P3,Hardware,Access,Bronze,C014,E007,0.508,Medium,1.0,480.0,2880.0
2023_T0002047,P2,Network,Crash,Silver,C003,E009,0.5063,Medium,1.0,120.0,720.0
2023_T0002884,P1,Hardware,Failure,Silver,C003,E010,0.5063,Medium,1.0,60.0,480.0
2023_T0005880,P1,Hardware,Access,Gold,C019,E006,0.5063,Medium,0.0,30.0,240.0
2023_T0001263,P1,Network,Failure,Silver,C003,E002,0.5063,Medium,1.0,60.0,480.0
2023_T0003367,P4,Hardware,Access,Silver,C003,E013,0.5063,Medium,0.0,480.0,2880.0
2023_T0002905,P3,Network,Failure,Gold,C019,E005,0.5063,Medium,1.0,120.0,1440.0
2023_T0001696,P3,Network,Access,Bronze,C009,E003,0.5051,Medium,1.0,480.0,2880.0
2023_T0002302,P2,Network,Crash,Gold,C008,E014,0.5051,Medium,1.0,60.0,480.0
2023_T0000631,P1,Hardware,Failure,Gold,C020,E013,0.5051,Medium,0.0,30.0,240.0
2023_T0006561,P2,Network,Slow,Gold,C013,E003,0.5051,Medium,1.0,60.0,480.0
2023_T0000659,P1,Hardware,Crash,Gold,C020,E007,0.5051,Medium,0.0,30.0,240.0
2023_T0006562,P3,Network,Failure,Gold,C013,E019,0.5051,Medium,1.0,120.0,1440.0
2024_T0004324,P2,Network,Failure,Gold,C019,E016,0.5051,Medium,0.0,60.0,480.0
2023_T0004591,P4,Hardware,Crash,Gold,C013,E004,0.5051,Medium,0.0,240.0,2880.0
2023_T0000517,P2,Network,Crash,Bronze,C009,E015,0.5051,Medium,1.0,240.0,1440.0
2024_T0006673,P2,Network,Slow,Gold,C019,E015,0.5051,Medium,0.0,60.0,480.0
2024_T0003168,P2,Hardware,Failure,Gold,C019,E005,0.5051,Medium,1.0,60.0,480.0
2023_T0001740,P4,Network,Failure,Bronze,C009,E002,0.5051,Medium,1.0,720.0,4320.0
2024_T0008096,P1,Hardware,Failure,Gold,C019,E014,0.5051,Medium,0.0,30.0,240.0
2023_T0005720,P2,Network,Access,Gold,C013,E013,0.5051,Medium,0.0,60.0,480.0
2023_T0003312,P1,Hardware,Slow,Gold,C007,E003,0.5051,Medium,0.0,30.0,240.0
2024_T0002499,P1,Network,Crash,Gold,C019,E020,0.5051,Medium,0.0,30.0,240.0
2023_T0000528,P4,Hardware,Failure,Bronze,C009,E020,0.5051,Medium,1.0,720.0,4320.0
2023_T0001514,P3,Hardware,Failure,Silver,C002,E005,0.5051,Medium,1.0,240.0,1440.0
2024_T0005923,P3,Hardware,Crash,Gold,C019,E008,0.5051,Medium,0.0,120.0,1440.0
2023_T0002688,P3,Network,Access,Gold,C016,E015,0.5051,Medium,1.0,120.0,1440.0
2023_T0002811,P2,Hardware,Slow,Gold,C020,E013,0.5051,Medium,1.0,60.0,480.0
2023_T0004412,P3,Hardware,Failure,Silver,C015,E005,0.5051,Medium,1.0,240.0,1440.0
2024_T0003400,P3,Hardware,Access,Gold,C019,E006,0.5051,Medium,1.0,120.0,1440.0
2023_T0005154,P1,Network,Access,Gold,C013,E002,0.5051,Medium,1.0,30.0,240.0
2023_T0001524,P1,Hardware,Slow,Gold,C020,E009,0.5051,Medium,0.0,30.0,240.0
2023_T0001630,P4,Hardware,Access,Gold,C008,E016,0.5051,Medium,1.0,240.0,2880.0
2023_T0006052,P1,Hardware,Slow,Gold,C007,E015,0.5051,Medium,0.0,30.0,240.0
2023_T0001983,P2,Hardware,Crash,Gold,C008,E003,0.5051,Medium,0.0,60.0,480.0
2023_T0005009,P2,Network,Slow,Gold,C008,E020,0.5051,Medium,1.0,60.0,480.0
2023_T0004436,P1,Network,Access,Gold,C020,E016,0.5051,Medium,0.0,30.0,240.0
2023_T0002528,P4,Network,Crash,Gold,C007,E019,0.5051,Medium,0.0,240.0,2880.0
2023_T0003597,P1,Network,Crash,Gold,C008,E011,0.5051,Medium,0.0,30.0,240.0
2023_T0006792,P2,Network,Slow,Gold,C020,E020,0.5051,Medium,0.0,60.0,480.0
2024_T0004115,P4,Hardware,Access,Gold,C019,E005,0.5051,Medium,1.0,240.0,2880.0
2023_T0005915,P1,Hardware,Failure,Bronze,C012,E019,0.5051,Medium,0.0,120.0,720.0
2023_T0005752,P2,Network,Access,Gold,C007,E013,0.5051,Medium,0.0,60.0,480.0
2024_T0004805,P4,Network,Access,Gold,C019,E004,0.5051,Medium,0.0,240.0,2880.0
2023_T0003287,P3,Network,Failure,Gold,C016,E015,0.5051,Medium,1.0,120.0,1440.0
2023_T0003992,P4,Network,Access,Gold,C007,E016,0.5051,Medium,0.0,240.0,2880.0
2024_T0003238,P1,Network,Access,Gold,C019,E005,0.5051,Medium,0.0,30.0,240.0
2024_T0007789,P4,Network,Access,Gold,C019,E020,0.5051,Medium,0.0,240.0,2880.0
2023_T0004104,P1,Hardware,Slow,Silver,C015,E015,0.5051,Medium,1.0,60.0,480.0
2023_T0002060,P3,Hardware,Access,Gold,C016,E011,0.5051,Medium,0.0,120.0,1440.0
2024_T0006952,P4,Hardware,Slow,Gold,C019,E011,0.5051,Medium,1.0,240.0,2880.0
2024_T0004358,P3,Hardware,Slow,Gold,C019,E012,0.5051,Medium,1.0,120.0,1440.0
2023_T0000419,P3,Network,Slow,Gold,C013,E003,0.5051,Medium,0.0,120.0,1440.0
2023_T0002141,P2,Hardware,Crash,Gold,C020,E004,0.5051,Medium,1.0,60.0,480.0
2023_T0002133,P2,Network,Access,Bronze,C024,E003,0.5051,Medium,1.0,240.0,1440.0
2023_T0005549,P1,Network,Access,Gold,C008,E008,0.5051,Medium,1.0,30.0,240.0
2023_T0003896,P3,Hardware,Crash,Bronze,C009,E009,0.5051,Medium,0.0,480.0,2880.0
2023_T0006447,P1,Network,Failure,Gold,C020,E013,0.5051,Medium,0.0,30.0,240.0
2023_T0003142,P4,Hardware,Crash,Gold,C007,E003,0.5051,Medium,0.0,240.0,2880.0
2024_T0005901,P4,Hardware,Failure,Gold,C019,E013,0.5051,Medium,0.0,240.0,2880.0
2023_T0005963,P2,Hardware,Crash,Silver,C002,E017,0.5051,Medium,0.0,120.0,720.0
2023_T0006054,P4,Hardware,Failure,Bronze,C009,E001,0.5051,Medium,1.0,720.0,4320.0
2023_T0006044,P1,Network,Failure,Gold,C013,E001,0.5051,Medium,0.0,30.0,240.0
2023_T0006819,P3,Hardware,Access,Gold,C016,E017,0.5051,Medium,1.0,120.0,1440.0
2023_T0005266,P4,Network,Failure,Gold,C020,E005,0.5051,Medium,1.0,240.0,2880.0
2023_T0000204,P1,Hardware,Access,Gold,C016,E013,0.5051,Medium,1.0,30.0,240.0
2023_T0004694,P4,Network,Crash,Silver,C015,E017,0.5051,Medium,1.0,480.0,2880.0
2023_T0003104,P4,Hardware,Failure,Bronze,C009,E001,0.5051,Medium,1.0,720.0,4320.0
2023_T0000998,P1,Hardware,Failure,Gold,C020,E003,0.5051,Medium,0.0,30.0,240.0
2023_T0000132,P2,Network,Access,Gold,C020,E019,0.5051,Medium,1.0,60.0,480.0
2023_T0005001,P2,Network,Access,Gold,C007,E013,0.5051,Medium,0.0,60.0,480.0
2023_T0002924,P4,Network,Crash,Gold,C020,E010,0.5051,Medium,1.0,240.0,2880.0
2023_T0004630,P4,Hardware,Failure,Silver,C015,E009,0.5051,Medium,1.0,480.0,2880.0
2024_T0008605,P1,Network,Failure,Gold,C019,E014,0.5051,Medium,1.0,30.0,240.0
2023_T0002584,P1,Hardware,Slow,Gold,C020,E014,0.5051,Medium,0.0,30.0,240.0
2023_T0005646,P1,Network,Slow,Gold,C020,E013,0.5051,Medium,0.0,30.0,240.0
2023_T0000744,P1,Hardware,Crash,Gold,C008,E004,0.5051,Medium,0.0,30.0,240.0
2023_T0004116,P4,Hardware,Access,Gold,C020,E010,0.5051,Medium,1.0,240.0,2880.0
2023_T0000576,P2,Network,Access,Silver,C015,E005,0.5051,Medium,1.0,120.0,720.0
2023_T0000210,P1,Network,Access,Gold,C020,E019,0.5051,Medium,1.0,30.0,240.0
2023_T0004614,P1,Hardware,Access,Gold,C020,E015,0.5051,Medium,0.0,30.0,240.0
2023_T0002298,P3,Hardware,Crash,Gold,C020,E007,0.5051,Medium,1.0,120.0,1440.0
2023_T0004914,P2,Network,Crash,Gold,C020,E009,0.5051,Medium,0.0,60.0,480.0
2023_T0005919,P2,Network,Access,Bronze,C009,E018,0.5051,Medium,1.0,240.0,1440.0
2023_T0001966,P4,Network,Slow,Gold,C020,E015,0.5051,Medium,1.0,240.0,2880.0
2023_T0004572,P1,Network,Access,Gold,C020,E012,0.5051,Medium,1.0,30.0,240.0
2023_T0004704,P1,Network,Access,Silver,C002,E014,0.5051,Medium,0.0,60.0,480.0
2023_T0000541,P1,Hardware,Access,Gold,C008,E012,0.5051,Medium,0.0,30.0,240.0
2023_T0001694,P3,Network,Slow,Gold,C020,E016,0.5051,Medium,1.0,120.0,1440.0
2023_T0003678,P3,Hardware,Failure,Gold,C020,E012,0.5051,Medium,1.0,120.0,1440.0
2023_T0005991,P1,Hardware,Access,Gold,C008,E013,0.5051,Medium,0.0,30.0,240.0
2023_T0003082,P4,Hardware,Access,Gold,C008,E016,0.5051,Medium,1.0,240.0,2880.0
2023_T0002577,P3,Network,Failure,Gold,C007,E012,0.5051,Medium,1.0,120.0,1440.0
2023_T0005007,P2,Network,Access,Gold,C013,E003,0.5051,Medium,0.0,60.0,480.0
2023_T0006795,P1,Network,Slow,Bronze,C009,E015,0.5051,Medium,0.0,120.0,720.0
2024_T0002983,P1,Hardware,Failure,Gold,C023,E009,0.5051,Medium,0.0,30.0,240.0
2023_T0000123,P1,Network,Slow,Gold,C016,E011,0.5051,Medium,0.0,30.0,240.0
2023_T0006425,P4,Hardware,Access,Gold,C013,E018,0.5051,Medium,0.0,240.0,2880.0
2024_T0003970,P1,Network,Crash,Gold,C019,E011,0.5051,Medium,0.0,30.0,240.0
2023_T0000776,P3,Hardware,Slow,Gold,C013,E014,0.5051,Medium,1.0,120.0,1440.0
2023_T0006828,P1,Network,Crash,Gold,C020,E016,0.5051,Medium,1.0,30.0,240.0
2023_T0006110,P4,Hardware,Failure,Gold,C008,E015,0.5051,Medium,1.0,240.0,2880.0
2023_T0002204,P4,Network,Slow,Gold,C019,E019,0.5034,Medium,1.0,240.0,2880.0
2023_T0004070,P2,Network,Access,Gold,C019,E019,0.5034,Medium,1.0,60.0,480.0
2023_T0002065,P2,Network,Slow,Gold,C019,E007,0.5034,Medium,0.0,60.0,480.0
2023_T0005680,P2,Network,Slow,Gold,C019,E015,0.5034,Medium,1.0,60.0,480.0
2023_T0001116,P4,Hardware,Failure,Gold,C019,E018,0.5034,Medium,1.0,240.0,2880.0
2023_T0002744,P2,Network,Failure,Silver,C010,E007,0.5034,Medium,1.0,120.0,720.0
2023_T0006202,P3,Network,Slow,Gold,C019,E003,0.5034,Medium,1.0,120.0,1440.0
2023_T0004951,P3,Network,Slow,Gold,C019,E017,0.5034,Medium,1.0,120.0,1440.0
2023_T0005361,P1,Network,Slow,Silver,C003,E014,0.5034,Medium,0.0,60.0,480.0
2023_T0000600,P2,Network,Failure,Gold,C019,E017,0.5034,Medium,1.0,60.0,480.0
2023_T0004501,P2,Hardware,Access,Gold,C019,E015,0.5034,Medium,0.0,60.0,480.0
2023_T0003096,P4,Network,Failure,Silver,C010,E019,0.5034,Medium,1.0,480.0,2880.0
2023_T0006233,P3,Network,Slow,Gold,C019,E004,0.5034,Medium,0.0,120.0,1440.0
2023_T0002968,P2,Hardware,Slow,Gold,C019,E005,0.5034,Medium,1.0,60.0,480.0
2023_T0003960,P3,Network,Failure,Silver,C010,E007,0.5034,Medium,0.0,240.0,1440.0
2023_T0001841,P3,Hardware,Access,Bronze,C005,E009,0.5034,Medium,0.0,480.0,2880.0
2023_T0004149,P2,Hardware,Failure,Silver,C010,E012,0.5034,Medium,1.0,120.0,720.0
2023_T0000295,P4,Hardware,Failure,Gold,C019,E017,0.5034,Medium,1.0,240.0,2880.0
2023_T0003156,P2,Network,Failure,Gold,C019,E018,0.5034,Medium,0.0,60.0,480.0
2023_T0006737,P4,Network,Failure,Silver,C003,E002,0.5034,Medium,0.0,480.0,2880.0
2023_T0002683,P4,Hardware,Slow,Gold,C019,E018,0.5034,Medium,0.0,240.0,2880.0
2023_T0000296,P2,Network,Access,Silver,C003,E009,0.5034,Medium,0.0,120.0,720.0
2023_T0005992,P2,Network,Failure,Silver,C010,E001,0.5034,Medium,1.0,120.0,720.0
2023_T0004871,P4,Network,Crash,Gold,C019,E015,0.5034,Medium,0.0,240.0,2880.0
2023_T0001679,P2,Hardware,Slow,Silver,C003,E014,0.5034,Medium,0.0,120.0,720.0
2023_T0004458,P3,Hardware,Failure,Gold,C019,E017,0.5034,Medium,1.0,120.0,1440.0
2023_T0005286,P4,Network,Failure,Silver,C010,E012,0.5034,Medium,0.0,480.0,2880.0
2023_T0003372,P4,Network,Failure,Silver,C010,E020,0.5034,Medium,1.0,480.0,2880.0
2023_T0005444,P1,Hardware,Access,Gold,C019,E003,0.5034,Medium,0.0,30.0,240.0
2023_T0001326,P4,Network,Slow,Silver,C003,E004,0.5034,Medium,1.0,480.0,2880.0
2023_T0004142,P4,Network,Crash,Gold,C019,E006,0.5034,Medium,0.0,240.0,2880.0
2023_T0004654,P4,Hardware,Slow,Silver,C003,E006,0.5034,Medium,1.0,480.0,2880.0
2023_T0002401,P4,Network,Crash,Gold,C019,E015,0.5034,Medium,1.0,240.0,2880.0
2023_T0000863,P1,Network,Failure,Silver,C010,E004,0.5034,Medium,1.0,60.0,480.0
2023_T0002013,P2,Network,Slow,Silver,C003,E020,0.5034,Medium,0.0,120.0,720.0
2023_T0004515,P1,Network,Slow,Bronze,C005,E014,0.5034,Medium,1.0,120.0,720.0
2023_T0000997,P4,Network,Access,Gold,C019,E002,0.5034,Medium,0.0,240.0,2880.0
2023_T0002941,P1,Network,Failure,Silver,C003,E011,0.5034,Medium,0.0,60.0,480.0
2023_T0004178,P3,Network,Crash,Gold,C019,E008,0.5034,Medium,1.0,120.0,1440.0
2023_T0002241,P4,Network,Crash,Silver,C010,E007,0.5034,Medium,0.0,480.0,2880.0
2023_T0004292,P1,Hardware,Failure,Gold,C019,E002,0.5034,Medium,1.0,30.0,240.0
2023_T0002899,P3,Hardware,Access,Silver,C003,E001,0.5034,Medium,1.0,240.0,1440.0
2023_T0002786,P1,Network,Crash,Silver,C003,E015,0.5034,Medium,1.0,60.0,480.0
2023_T0006117,P2,Network,Failure,Gold,C019,E012,0.5034,Medium,1.0,60.0,480.0
2023_T0001209,P2,Hardware,Crash,Gold,C019,E008,0.5034,Medium,1.0,60.0,480.0
2023_T0006807,P4,Hardware,Failure,Gold,C019,E016,0.5034,Medium,1.0,240.0,2880.0
2023_T0005616,P4,Hardware,Access,Silver,C003,E018,0.5034,Medium,1.0,480.0,2880.0
2023_T0004864,P1,Network,Failure,Silver,C003,E017,0.5034,Medium,1.0,60.0,480.0
2023_T0003683,P4,Hardware,Crash,Silver,C010,E018,0.5034,Medium,1.0,480.0,2880.0
2023_T0000573,P4,Network,Crash,Bronze,C005,E008,0.5034,Medium,1.0,720.0,4320.0
2023_T0002158,P3,Network,Slow,Silver,C010,E001,0.5034,Medium,0.0,240.0,1440.0
2023_T0005630,P1,Network,Failure,Silver,C003,E018,0.5034,Medium,1.0,60.0,480.0
2023_T0000856,P4,Network,Access,Gold,C019,E006,0.5034,Medium,0.0,240.0,2880.0
2023_T0002652,P2,Network,Access,Gold,C019,E018,0.5034,Medium,1.0,60.0,480.0
2023_T0003632,P1,Network,Access,Gold,C019,E002,0.5034,Medium,0.0,30.0,240.0
2023_T0005116,P1,Network,Slow,Silver,C010,E015,0.5034,Medium,0.0,60.0,480.0
2023_T0006395,P4,Network,Access,Gold,C019,E006,0.5034,Medium,1.0,240.0,2880.0
2023_T0003267,P3,Hardware,Access,Bronze,C005,E018,0.5034,Medium,0.0,480.0,2880.0
2023_T0002066,P1,Network,Crash,Silver,C003,E002,0.5034,Medium,1.0,60.0,480.0
2023_T0002628,P4,Network,Slow,Gold,C019,E010,0.5034,Medium,1.0,240.0,2880.0
2023_T0006444,P4,Network,Crash,Bronze,C012,E016,0.5032,Medium,0.0,720.0,4320.0
2024_T0007041,P1,Hardware,Slow,Gold,C019,E020,0.5032,Medium,0.0,30.0,240.0
2023_T0000152,P1,Hardware,Access,Silver,C002,E001,0.5032,Medium,0.0,60.0,480.0
2023_T0006863,P1,Hardware,Crash,Gold,C013,E005,0.5032,Medium,1.0,30.0,240.0
2023_T0003187,P1,Network,Failure,Bronze,C024,E011,0.5032,Medium,1.0,120.0,720.0
2023_T0001379,P4,Network,Failure,Gold,C013,E019,0.5032,Medium,1.0,240.0,2880.0
2023_T0006043,P3,Network,Failure,Gold,C020,E006,0.5032,Medium,0.0,120.0,1440.0
2023_T0005283,P2,Network,Slow,Gold,C020,E012,0.5032,Medium,0.0,60.0,480.0
2023_T0004152,P3,Network,Failure,Gold,C008,E010,0.5032,Medium,0.0,120.0,1440.0
2023_T0005195,P1,Hardware,Failure,Gold,C018,E010,0.5032,Medium,1.0,30.0,240.0
2023_T0004309,P4,Network,Access,Gold,C008,E011,0.5032,Medium,1.0,240.0,2880.0
2023_T0002929,P1,Hardware,Crash,Gold,C008,E015,0.5032,Medium,0.0,30.0,240.0
2023_T0001161,P2,Network,Crash,Gold,C013,E013,0.5032,Medium,0.0,60.0,480.0
2023_T0000389,P4,Network,Failure,Gold,C008,E015,0.5032,Medium,0.0,240.0,2880.0
2024_T0004019,P3,Hardware,Failure,Gold,C019,E003,0.5032,Medium,0.0,120.0,1440.0
2023_T0000853,P1,Network,Slow,Bronze,C024,E012,0.5032,Medium,1.0,120.0,720.0
2023_T0002074,P3,Hardware,Access,Gold,C013,E015,0.5032,Medium,1.0,120.0,1440.0
2023_T0004596,P3,Hardware,Failure,Gold,C007,E005,0.5032,Medium,1.0,120.0,1440.0
2023_T0006161,P4,Network,Slow,Gold,C013,E008,0.5032,Medium,0.0,240.0,2880.0
2023_T0003299,P1,Hardware,Access,Bronze,C009,E002,0.5032,Medium,0.0,120.0,720.0
2023_T0000327,P4,Network,Slow,Gold,C013,E017,0.5032,Medium,0.0,240.0,2880.0
2023_T0001797,P4,Hardware,Failure,Silver,C015,E003,0.5032,Medium,1.0,480.0,2880.0
2023_T0006367,P2,Network,Slow,Bronze,C009,E012,0.5032,Medium,0.0,240.0,1440.0
2023_T0000321,P4,Hardware,Crash,Gold,C008,E007,0.5032,Medium,0.0,240.0,2880.0
2023_T0003605,P4,Hardware,Crash,Gold,C008,E003,0.5032,Medium,0.0,240.0,2880.0
2023_T0001562,P4,Hardware,Crash,Gold,C008,E002,0.5032,Medium,1.0,240.0,2880.0
2023_T0000144,P2,Network,Slow,Gold,C020,E017,0.5032,Medium,1.0,60.0,480.0
2023_T0002428,P1,Hardware,Crash,Silver,C002,E006,0.5032,Medium,0.0,60.0,480.0
2023_T0004558,P4,Hardware,Slow,Bronze,C024,E005,0.5032,Medium,1.0,720.0,4320.0
2024_T0004540,P3,Hardware,Crash,Gold,C019,E020,0.5032,Medium,1.0,120.0,1440.0
2023_T0005074,P2,Hardware,Failure,Bronze,C012,E011,0.5032,Medium,0.0,240.0,1440.0
