year_ticket_id,ticket_id,ticket_category,ticket_priority,issue_type,ticket_channel,ticket_status,ticket_description,sla_breach_prob,sla_risk_tier,client_id,service_tier,device_type,engineer_id,resolution_time_minutes,first_response_time_minutes,sla_num
2025_T0006782,T0006782,Network,P2,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.4996,Medium,C009,Bronze,Switch,E014,1638.85,32.0,1.0
2025_T0007550,T0007550,Hardware,P3,Access,Email,Closed,Physical port unresponsive.,0.5004,Medium,C009,Bronze,Router,E017,2996.7,53.0,1.0
2025_T0009593,T0009593,Hardware,P1,Access,Email,Closed,Physical port unresponsive.,0.5005,Medium,C011,Bronze,Server,E019,579.48,55.0,0.0
2025_T0008343,T0008343,Network,P4,Access,Portal,Closed,VPN authentication failing.,0.4996,Medium,C019,Gold,Router,E016,2516.32,53.0,0.0
2025_T0004312,T0004312,Hardware,P3,Failure,Portal,Closed,Server 04 failing to POST.,0.4996,Medium,C002,Silver,Server,E005,1041.52,23.0,0.0
2025_T0003825,T0003825,Network,P2,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.4996,Medium,C024,Bronze,Server,E012,1227.58,53.0,0.0
2025_T0008909,T0008909,Network,P2,Crash,Email,Closed,Core switch rebooted unexpectedly.,0.4996,Medium,C017,Silver,Switch,E020,600.33,57.0,0.0
2025_T0004683,T0004683,Hardware,P1,Failure,Email,Closed,Server 04 failing to POST.,0.4996,Medium,C012,Bronze,Firewall,E005,563.58,25.0,0.0
2025_T0005080,T0005080,Hardware,P1,Access,Email,Closed,Physical port unresponsive.,0.4996,Medium,C019,Gold,Router,E013,184.2,31.0,0.0
2025_T0008185,T0008185,Hardware,P1,Failure,Email,Closed,Server 04 failing to POST.,0.4997,Medium,C024,Bronze,Router,E013,563.93,43.0,0.0
2025_T0009770,T0009770,Network,P2,Slow,Email,Closed,High latency during peak hours.,0.4997,Medium,C025,Bronze,Switch,E018,1531.75,56.0,1.0
2025_T0007463,T0007463,Hardware,P3,Access,Email,Closed,Physical port unresponsive.,0.5005,Medium,C022,Bronze,Server,E015,2851.27,48.0,0.0
2025_T0007308,T0007308,Network,P3,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.4997,Medium,C017,Silver,Router,E015,1178.3,55.0,0.0
2025_T0008518,T0008518,Network,P2,Failure,Email,Closed,Total loss of connectivity in Sector B.,0.5007,Medium,C003,Silver,Server,E003,800.73,50.0,1.0
2025_T0005998,T0005998,Network,P2,Access,Email,Closed,VPN authentication failing.,0.4997,Medium,C024,Bronze,Router,E010,1183.72,40.0,0.0
2025_T0004861,T0004861,Network,P3,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.4996,Medium,C001,Gold,Router,E010,1655.05,60.0,1.0
2025_T0009934,T0009934,Hardware,P4,Access,Email,Closed,Physical port unresponsive.,0.4996,Medium,C013,Gold,Server,E007,3373.55,44.0,1.0
2025_T0005488,T0005488,Network,P1,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.4996,Medium,C020,Gold,Server,E015,246.4,6.0,1.0
2025_T0005465,T0005465,Hardware,P3,Crash,Portal,Closed,System thermal shutdown.,0.4997,Medium,C024,Bronze,Router,E013,3220.97,48.0,1.0
2025_T0007362,T0007362,Network,P3,Crash,Email,Closed,Core switch rebooted unexpectedly.,0.4997,Medium,C024,Bronze,Router,E016,2217.02,30.0,0.0
2025_T0009230,T0009230,Network,P4,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.4996,Medium,C014,Bronze,Router,E001,3868.15,35.0,0.0
2025_T0009127,T0009127,Hardware,P1,Access,Portal,Closed,Physical port unresponsive.,0.4997,Medium,C025,Bronze,Switch,E005,769.75,20.0,1.0
2025_T0007007,T0007007,Hardware,P1,Failure,Email,Closed,Server 04 failing to POST.,0.5007,Medium,C015,Silver,Router,E020,370.9,11.0,0.0
2025_T0009580,T0009580,Network,P1,Failure,Email,Closed,Total loss of connectivity in Sector B.,0.5007,Medium,C010,Silver,Server,E020,417.02,38.0,0.0
2025_T0007664,T0007664,Network,P2,Slow,Email,Closed,High latency during peak hours.,0.4996,Medium,C012,Bronze,Firewall,E014,1200.82,17.0,0.0
2025_T0007335,T0007335,Hardware,P3,Crash,Portal,Closed,System thermal shutdown.,0.5007,Medium,C015,Silver,Server,E011,1449.68,6.0,1.0
2025_T0008064,T0008064,Network,P1,Crash,Email,Closed,Core switch rebooted unexpectedly.,0.4992,Medium,C011,Bronze,Switch,E018,656.73,34.0,0.0
2025_T0004604,T0004604,Hardware,P4,Slow,Portal,Closed,Disk I/O wait times high.,0.4996,Medium,C004,Bronze,Switch,E015,4732.8,56.0,1.0
2025_T0008221,T0008221,Network,P2,Slow,Email,Closed,High latency during peak hours.,0.4997,Medium,C004,Bronze,Firewall,E009,1665.63,32.0,1.0
2025_T0005175,T0005175,Network,P2,Slow,Portal,Closed,High latency during peak hours.,0.4997,Medium,C006,Bronze,Switch,E005,1096.7,11.0,0.0
2025_T0010463,T0010463,Hardware,P4,Access,Email,Closed,Physical port unresponsive.,0.4997,Medium,C004,Bronze,Firewall,E007,4352.48,7.0,1.0
2025_T0008095,T0008095,Network,P4,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.4996,Medium,C012,Bronze,Switch,E015,3945.55,34.0,0.0
2025_T0008194,T0008194,Network,P3,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.4996,Medium,C001,Gold,Firewall,E012,1025.15,18.0,0.0
2025_T0003057,T0003057,Hardware,P4,Slow,Portal,Closed,Disk I/O wait times high.,0.4997,Medium,C004,Bronze,Firewall,E001,5102.28,46.0,1.0
2025_T0007897,T0007897,Network,P2,Slow,Email,Closed,High latency during peak hours.,0.4992,Medium,C011,Bronze,Switch,E013,1164.65,43.0,0.0
2025_T0007993,T0007993,Hardware,P2,Failure,Email,Closed,Server 04 failing to POST.,0.4996,Medium,C003,Silver,Switch,E011,553.27,37.0,0.0
2025_T0008262,T0008262,Network,P1,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.4997,Medium,C020,Gold,Switch,E016,255.65,49.0,1.0
2025_T0004449,T0004449,Network,P2,Access,Portal,Closed,VPN authentication failing.,0.5007,Medium,C007,Gold,Router,E002,395.5,31.0,0.0
2025_T0008031,T0008031,Hardware,P3,Failure,Portal,Closed,Server 04 failing to POST.,0.5007,Medium,C007,Gold,Router,E010,1111.08,31.0,0.0
2025_T0005337,T0005337,Network,P2,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.4996,Medium,C012,Bronze,Firewall,E007,1291.08,15.0,0.0
2025_T0003206,T0003206,Network,P3,Access,Portal,Closed,Total loss of connectivity in Sector B.,0.501,Medium,C004,Bronze,Firewall,E007,3404.23,46.0,1.0
2025_T0010174,T0010174,Network,P1,Failure,Email,Closed,Total loss of connectivity in Sector B.,0.4997,Medium,C017,Silver,Switch,E019,434.9,52.0,0.0
2025_T0009391,T0009391,Network,P3,Access,Portal,Closed,VPN authentication failing.,0.5011,Medium,C023,Gold,Router,E003,1296.15,41.0,0.0
2025_T0006420,T0006420,Hardware,P1,Failure,Portal,Closed,Server 04 failing to POST.,0.4993,Medium,C008,Gold,Switch,E010,253.02,52.0,1.0
2025_T0009041,T0009041,Network,P1,Failure,Email,Closed,Total loss of connectivity in Sector B.,0.4997,Medium,C001,Gold,Switch,E009,179.48,26.0,0.0
2025_T0005437,T0005437,Network,P3,Crash,Email,Closed,Core switch rebooted unexpectedly.,0.4994,Medium,C008,Gold,Router,E003,1203.45,40.0,0.0
2025_T0003961,T0003961,Network,P1,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.4994,Medium,C005,Bronze,Router,E005,544.32,20.0,0.0
2025_T0003303,T0003303,Network,P1,Access,Portal,Closed,Total loss of connectivity in Sector B.,0.4994,Medium,C003,Silver,Switch,E018,540.98,28.0,1.0
2025_T0003998,T0003998,Network,P3,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.501,Medium,C014,Bronze,Firewall,E009,2682.7,15.0,0.0
2025_T0009264,T0009264,Network,P2,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.5007,Medium,C011,Bronze,Server,E016,1593.55,46.0,1.0
2025_T0004652,T0004652,Hardware,P3,Access,Portal,Closed,Physical port unresponsive.,0.501,Medium,C004,Bronze,Firewall,E011,2293.58,56.0,0.0
2025_T0007184,T0007184,Network,P3,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.4993,Medium,C016,Gold,Router,E014,1376.03,17.0,0.0
2025_T0003522,T0003522,Hardware,P4,Slow,Portal,Closed,Disk I/O wait times high.,0.4997,Medium,C014,Bronze,Firewall,E020,4712.6,14.0,1.0
2025_T0003435,T0003435,Hardware,P2,Crash,Email,Closed,System thermal shutdown.,0.501,Medium,C024,Bronze,Switch,E010,1526.4,28.0,1.0
2025_T0004423,T0004423,Hardware,P3,Failure,Email,Closed,Server 04 failing to POST.,0.501,Medium,C018,Gold,Router,E017,1120.22,38.0,0.0
2025_T0006321,T0006321,Network,P4,Crash,Email,Closed,Core switch rebooted unexpectedly.,0.5011,Medium,C023,Gold,Firewall,E012,2177.85,30.0,0.0
2025_T0007044,T0007044,Hardware,P2,Access,Portal,Closed,Physical port unresponsive.,0.501,Medium,C020,Gold,Firewall,E007,348.45,22.0,0.0
2025_T0008216,T0008216,Network,P3,Access,Portal,Closed,VPN authentication failing.,0.5007,Medium,C011,Bronze,Server,E010,2662.47,20.0,0.0
2025_T0003625,T0003625,Hardware,P2,Failure,Email,Closed,Server 04 failing to POST.,0.4997,Medium,C009,Bronze,Switch,E013,1685.15,37.0,1.0
2025_T0003120,T0003120,Network,P4,Crash,Email,Closed,Core switch rebooted unexpectedly.,0.5028,Medium,C004,Bronze,Router,E011,3451.53,39.0,0.0
2025_T0003497,T0003497,Hardware,P3,Failure,Portal,Closed,Server 04 failing to POST.,0.4993,Medium,C016,Gold,Server,E019,1072.52,16.0,0.0
2025_T0007961,T0007961,Network,P2,Access,Portal,Closed,VPN authentication failing.,0.4994,Medium,C013,Gold,Server,E013,389.3,27.0,0.0
2025_T0003422,T0003422,Network,P1,Access,Portal,Closed,Total loss of connectivity in Sector B.,0.501,Medium,C024,Bronze,Router,E002,534.5,51.0,0.0
2025_T0008598,T0008598,Network,P3,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.4997,Medium,C020,Gold,Server,E018,1084.5,38.0,0.0
2025_T0009407,T0009407,Network,P1,Slow,Email,Closed,High latency during peak hours.,0.4994,Medium,C015,Silver,Switch,E009,447.1,46.0,0.0
2025_T0007577,T0007577,Hardware,P3,Crash,Portal,Closed,System thermal shutdown.,0.4997,Medium,C014,Bronze,Router,E016,2647.9,9.0,0.0
2025_T0007003,T0007003,Hardware,P1,Access,Email,Closed,Physical port unresponsive.,0.4993,Medium,C007,Gold,Router,E012,228.7,25.0,0.0
2025_T0003146,T0003146,Hardware,P1,Access,Portal,Closed,Server 04 failing to POST.,0.5007,Medium,C023,Gold,Router,E003,200.9,9.0,0.0
2025_T0006756,T0006756,Network,P2,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.4994,Medium,C013,Gold,Server,E013,350.13,28.0,0.0
2025_T0007766,T0007766,Hardware,P4,Failure,Email,Closed,Server 04 failing to POST.,0.501,Medium,C014,Bronze,Switch,E019,3125.77,38.0,0.0
2025_T0009276,T0009276,Hardware,P4,Slow,Email,Closed,Disk I/O wait times high.,0.4997,Medium,C018,Gold,Firewall,E014,2770.9,51.0,0.0
2025_T0009415,T0009415,Network,P4,Slow,Portal,Closed,High latency during peak hours.,0.5028,Medium,C020,Gold,Router,E011,2781.52,33.0,0.0
2025_T0004174,T0004174,Hardware,P3,Crash,Portal,Closed,System thermal shutdown.,0.4993,Medium,C008,Gold,Switch,E013,1168.75,33.0,0.0
2025_T0003770,T0003770,Hardware,P4,Failure,Portal,Closed,Server 04 failing to POST.,0.501,Medium,C024,Bronze,Router,E010,3397.95,29.0,0.0
2025_T0008484,T0008484,Network,P4,Failure,Email,Closed,Total loss of connectivity in Sector B.,0.4994,Medium,C003,Silver,Switch,E001,2997.38,46.0,1.0
2025_T0009025,T0009025,Hardware,P2,Crash,Portal,Closed,System thermal shutdown.,0.4993,Medium,C007,Gold,Router,E004,475.43,19.0,0.0
2025_T0007346,T0007346,Hardware,P1,Slow,Email,Closed,Disk I/O wait times high.,0.4997,Medium,C006,Bronze,Firewall,E015,587.38,23.0,0.0
2025_T0008114,T0008114,Hardware,P4,Access,Portal,Closed,Physical port unresponsive.,0.4993,Medium,C007,Gold,Router,E018,2922.95,43.0,1.0
2025_T0005336,T0005336,Network,P4,Slow,Email,Closed,High latency during peak hours.,0.501,Medium,C004,Bronze,Switch,E019,3657.67,8.0,0.0
2025_T0008274,T0008274,Network,P4,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.4994,Medium,C003,Silver,Server,E005,2867.57,23.0,0.0
2025_T0003871,T0003871,Hardware,P3,Access,Portal,Closed,Server 04 failing to POST.,0.4997,Medium,C001,Gold,Firewall,E007,1402.05,22.0,0.0
2025_T0009488,T0009488,Hardware,P4,Failure,Portal,Closed,Server 04 failing to POST.,0.5011,Medium,C011,Bronze,Switch,E009,5105.6,48.0,1.0
2025_T0010203,T0010203,Network,P1,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.501,Medium,C017,Silver,Router,E014,426.92,44.0,0.0
2025_T0009217,T0009217,Hardware,P3,Failure,Email,Closed,Server 04 failing to POST.,0.501,Medium,C020,Gold,Router,E006,1064.8,30.0,0.0
2025_T0003766,T0003766,Network,P4,Failure,Email,Closed,Total loss of connectivity in Sector B.,0.4993,Medium,C002,Silver,Switch,E005,3194.57,35.0,1.0
2025_T0006941,T0006941,Hardware,P4,Crash,Portal,Closed,System thermal shutdown.,0.5005,Medium,C022,Bronze,Server,E006,4072.65,35.0,0.0
2025_T0008050,T0008050,Hardware,P2,Failure,Email,Closed,Server 04 failing to POST.,0.4997,Medium,C020,Gold,Router,E008,347.77,11.0,0.0
2025_T0010411,T0010411,Hardware,P4,Failure,Email,Closed,Server 04 failing to POST.,0.4996,Medium,C001,Gold,Router,E001,3031.38,56.0,1.0
2025_T0009246,T0009246,Hardware,P1,Failure,Portal,Closed,Server 04 failing to POST.,0.5005,Medium,C023,Gold,Router,E019,192.2,9.0,0.0
2025_T0006685,T0006685,Network,P3,Failure,Email,Closed,Total loss of connectivity in Sector B.,0.5007,Medium,C016,Gold,Firewall,E009,1330.98,37.0,0.0
2025_T0008922,T0008922,Network,P4,Slow,Email,Closed,High latency during peak hours.,0.4997,Medium,C024,Bronze,Router,E005,3278.57,46.0,0.0
2025_T0007345,T0007345,Network,P4,Slow,Portal,Closed,High latency during peak hours.,0.4996,Medium,C012,Bronze,Switch,E016,3069.93,19.0,0.0
2025_T0003717,T0003717,Network,P4,Access,Email,Closed,Total loss of connectivity in Sector B.,0.5005,Medium,C023,Gold,Switch,E010,2207.75,41.0,0.0
2025_T0003056,T0003056,Hardware,P1,Crash,Email,Closed,System thermal shutdown.,0.4992,Medium,C022,Bronze,Server,E002,690.2,58.0,0.0
2025_T0006276,T0006276,Network,P1,Access,Portal,Closed,VPN authentication failing.,0.4996,Medium,C004,Bronze,Switch,E020,851.02,49.0,1.0
2025_T0008491,T0008491,Hardware,P2,Failure,Portal,Closed,Server 04 failing to POST.,0.4996,Medium,C001,Gold,Firewall,E003,379.22,44.0,0.0
2025_T0007131,T0007131,Network,P3,Slow,Email,Closed,High latency during peak hours.,0.4996,Medium,C024,Bronze,Server,E015,3016.68,55.0,1.0
2025_T0004829,T0004829,Hardware,P3,Access,Portal,Closed,Physical port unresponsive.,0.4996,Medium,C015,Silver,Firewall,E004,1240.22,37.0,0.0
2025_T0009279,T0009279,Hardware,P4,Slow,Email,Closed,Disk I/O wait times high.,0.4997,Medium,C014,Bronze,Switch,E015,5157.15,7.0,1.0
2025_T0007352,T0007352,Network,P1,Slow,Portal,Closed,High latency during peak hours.,0.4997,Medium,C020,Gold,Router,E001,212.07,31.0,0.0
2025_T0010328,T0010328,Network,P3,Failure,Email,Closed,Total loss of connectivity in Sector B.,0.4996,Medium,C017,Silver,Switch,E002,1208.72,37.0,0.0
2025_T0006521,T0006521,Hardware,P1,Failure,Portal,Closed,Server 04 failing to POST.,0.5005,Medium,C023,Gold,Firewall,E005,247.7,60.0,1.0
2025_T0003202,T0003202,Network,P4,Crash,Email,Closed,Core switch rebooted unexpectedly.,0.5007,Medium,C015,Silver,Server,E005,2192.87,30.0,0.0
2025_T0008417,T0008417,Network,P2,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.4996,Medium,C005,Bronze,Router,E012,1147.7,33.0,0.0
2025_T0004386,T0004386,Network,P4,Slow,Portal,Closed,High latency during peak hours.,0.5007,Medium,C016,Gold,Router,E012,2273.68,36.0,0.0
2025_T0009177,T0009177,Hardware,P4,Crash,Email,Closed,System thermal shutdown.,0.4997,Medium,C024,Bronze,Router,E001,3984.9,14.0,0.0
2025_T0006876,T0006876,Hardware,P4,Failure,Email,Closed,Server 04 failing to POST.,0.4996,Medium,C005,Bronze,Server,E019,3876.1,23.0,0.0
2025_T0005979,T0005979,Network,P1,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.4997,Medium,C001,Gold,Router,E019,168.65,53.0,0.0
2025_T0004603,T0004603,Hardware,P4,Slow,Portal,Closed,Disk I/O wait times high.,0.5005,Medium,C022,Bronze,Server,E003,3381.08,48.0,0.0
2025_T0005835,T0005835,Network,P3,Slow,Email,Closed,High latency during peak hours.,0.4996,Medium,C013,Gold,Server,E009,1119.9,51.0,0.0
2025_T0007303,T0007303,Network,P1,Slow,Portal,Closed,High latency during peak hours.,0.5007,Medium,C015,Silver,Server,E001,399.48,6.0,0.0
2025_T0004952,T0004952,Hardware,P1,Crash,Email,Closed,System thermal shutdown.,0.4996,Medium,C002,Silver,Server,E015,554.88,40.0,1.0
2025_T0007976,T0007976,Network,P3,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.4996,Medium,C017,Silver,Firewall,E015,1452.02,24.0,1.0
2025_T0007871,T0007871,Hardware,P2,Crash,Email,Closed,System thermal shutdown.,0.4996,Medium,C016,Gold,Switch,E008,427.92,22.0,0.0
2025_T0008734,T0008734,Network,P4,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.4997,Medium,C004,Bronze,Firewall,E012,3185.35,47.0,0.0
2025_T0006085,T0006085,Network,P4,Slow,Email,Closed,High latency during peak hours.,0.5005,Medium,C011,Bronze,Server,E020,3679.63,18.0,0.0
2025_T0008520,T0008520,Hardware,P1,Slow,Portal,Closed,Disk I/O wait times high.,0.5007,Medium,C016,Gold,Router,E007,209.95,59.0,0.0
2025_T0004417,T0004417,Network,P1,Access,Portal,Closed,VPN authentication failing.,0.4992,Medium,C023,Gold,Router,E012,228.73,20.0,0.0
2025_T0005450,T0005450,Hardware,P1,Crash,Email,Closed,System thermal shutdown.,0.4997,Medium,C020,Gold,Firewall,E007,238.35,42.0,0.0
2025_T0008850,T0008850,Hardware,P2,Failure,Email,Closed,Server 04 failing to POST.,0.5005,Medium,C022,Bronze,Server,E001,1704.92,14.0,1.0
2025_T0008323,T0008323,Hardware,P3,Slow,Email,Closed,Disk I/O wait times high.,0.4996,Medium,C017,Silver,Switch,E008,1141.63,10.0,0.0
2025_T0003793,T0003793,Network,P3,Crash,Email,Closed,Core switch rebooted unexpectedly.,0.4996,Medium,C005,Bronze,Router,E017,2303.4,59.0,0.0
2025_T0005420,T0005420,Network,P1,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.5007,Medium,C005,Bronze,Switch,E012,682.25,19.0,0.0
2025_T0006916,T0006916,Hardware,P1,Crash,Portal,Closed,System thermal shutdown.,0.4997,Medium,C017,Silver,Router,E003,427.75,33.0,0.0
2025_T0007501,T0007501,Hardware,P3,Slow,Portal,Closed,Disk I/O wait times high.,0.4996,Medium,C024,Bronze,Switch,E015,2086.82,16.0,0.0
2025_T0009015,T0009015,Hardware,P1,Slow,Portal,Closed,Disk I/O wait times high.,0.4992,Medium,C022,Bronze,Server,E007,703.53,34.0,0.0
2025_T0009322,T0009322,Network,P3,Slow,Portal,Closed,High latency during peak hours.,0.4992,Medium,C023,Gold,Server,E009,1684.35,59.0,1.0
2025_T0004691,T0004691,Hardware,P4,Failure,Portal,Closed,Server 04 failing to POST.,0.4996,Medium,C024,Bronze,Switch,E009,4287.77,60.0,0.0
2025_T0005695,T0005695,Hardware,P2,Crash,Portal,Closed,System thermal shutdown.,0.4996,Medium,C002,Silver,Server,E002,566.98,5.0,0.0
2025_T0007395,T0007395,Network,P4,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.4996,Medium,C018,Gold,Router,E002,2373.3,15.0,0.0
2025_T0003135,T0003135,Hardware,P2,Access,Email,Closed,Server 04 failing to POST.,0.4997,Medium,C021,Bronze,Server,E003,1443.05,54.0,1.0
2025_T0003144,T0003144,Hardware,P4,Crash,Email,Closed,System thermal shutdown.,0.4997,Medium,C024,Bronze,Router,E008,3917.47,13.0,0.0
2025_T0003965,T0003965,Network,P1,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.5007,Medium,C010,Silver,Router,E016,573.27,48.0,1.0
2025_T0005436,T0005436,Network,P2,Slow,Portal,Closed,High latency during peak hours.,0.4997,Medium,C017,Silver,Router,E004,536.55,27.0,0.0
2025_T0007228,T0007228,Hardware,P4,Failure,Portal,Closed,Server 04 failing to POST.,0.5005,Medium,C022,Bronze,Server,E008,4079.13,28.0,0.0
2025_T0007038,T0007038,Hardware,P3,Slow,Email,Closed,Disk I/O wait times high.,0.4996,Medium,C001,Gold,Firewall,E001,1548.52,31.0,1.0
2025_T0004067,T0004067,Network,P1,Access,Email,Closed,VPN authentication failing.,0.4997,Medium,C021,Bronze,Switch,E001,688.55,27.0,0.0
2025_T0005625,T0005625,Network,P3,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.4996,Medium,C016,Gold,Server,E011,1237.78,14.0,0.0
2025_T0003665,T0003665,Network,P3,Access,Email,Closed,Total loss of connectivity in Sector B.,0.4996,Medium,C014,Bronze,Firewall,E005,2495.73,15.0,0.0
2025_T0004700,T0004700,Network,P4,Access,Email,Closed,VPN authentication failing.,0.4997,Medium,C020,Gold,Router,E001,3403.15,28.0,1.0
2025_T0007672,T0007672,Network,P3,Access,Portal,Closed,VPN authentication failing.,0.4996,Medium,C019,Gold,Firewall,E003,1656.25,5.0,1.0
2025_T0009301,T0009301,Network,P1,Failure,Portal,Closed,Total loss of connectivity in Sector B.,0.4996,Medium,C013,Gold,Server,E012,262.92,29.0,1.0
2025_T0009501,T0009501,Hardware,P4,Crash,Email,Closed,System thermal shutdown.,0.4996,Medium,C013,Gold,Server,E013,2464.82,34.0,0.0
2025_T0010459,T0010459,Hardware,P1,Access,Portal,Closed,Physical port unresponsive.,0.4996,Medium,C017,Silver,Firewall,E012,443.72,25.0,0.0
2025_T0006689,T0006689,Hardware,P4,Failure,Email,Closed,Server 04 failing to POST.,0.4996,Medium,C012,Bronze,Switch,E016,3486.85,32.0,0.0
2025_T0004205,T0004205,Hardware,P3,Crash,Email,Closed,System thermal shutdown.,0.4996,Medium,C020,Gold,Server,E003,1288.23,16.0,0.0
2025_T0009696,T0009696,Network,P4,Failure,Email,Closed,Total loss of connectivity in Sector B.,0.5007,Medium,C016,Gold,Router,E003,2238.08,6.0,0.0
2025_T0010289,T0010289,Network,P3,Access,,Closed,VPN authentication failing.,0.5005,Medium,C023,Gold,Switch,E010,1516.12,52.0,1.0
2025_T0008547,T0008547,Network,P4,Slow,Portal,Closed,High latency during peak hours.,0.4997,Medium,C004,Bronze,Firewall,E019,5120.55,52.0,1.0
2025_T0003721,T0003721,Hardware,P2,Failure,Portal,Closed,Server 04 failing to POST.,0.4992,Medium,C023,Gold,Server,E002,448.53,41.0,0.0
2025_T0003198,T0003198,Network,P4,Slow,Email,Closed,High latency during peak hours.,0.5007,Medium,C019,Gold,Server,E017,2929.45,48.0,1.0
2025_T0010198,T0010198,Network,P1,Crash,Email,Closed,Core switch rebooted unexpectedly.,0.4992,Medium,C011,Bronze,Server,E010,608.47,31.0,0.0
2025_T0008051,T0008051,Network,P3,Access,Email,Closed,VPN authentication failing.,0.4996,Medium,C005,Bronze,Firewall,E016,2819.45,17.0,0.0
2025_T0003383,T0003383,Hardware,P3,Slow,Email,Closed,Disk I/O wait times high.,0.4997,Medium,C024,Bronze,Router,E001,3191.22,59.0,1.0
2025_T0004155,T0004155,Hardware,P2,Crash,Email,Closed,System thermal shutdown.,0.4996,Medium,C003,Silver,Server,E013,507.23,56.0,0.0
2025_T0009534,T0009534,Hardware,P4,Failure,Email,Closed,Server 04 failing to POST.,0.4996,Medium,C003,Silver,Server,E004,2706.12,28.0,0.0
